Time, BusVolt, PhaseCur, RPM, DriverTemp, MotroTemp, MotorAngle, DcCur, TPS
'23:39:07.4669',48.0,0.0,0.0,41.8,41.8,144.3,0.0,0.0
'23:39:07.5599',48.0,0.0,0.0,41.8,41.8,11.2,0.0,0.0
'23:39:07.6683',48.0,0.0,0.0,41.8,41.8,146.9,0.0,0.0
'23:39:07.7811',48.0,0.0,0.0,41.8,41.8,35.7,0.0,0.0
'23:39:07.8861',48.0,0.0,0.0,41.8,41.8,343.5,0.0,0.0
'23:39:07.9971',48.0,0.0,0.0,41.8,41.8,135.3,0.0,0.0
'23:39:08.1046',48.0,0.0,0.0,41.8,41.8,306.0,0.0,0.0
'23:39:08.2132',48.0,0.0,0.0,41.8,41.8,97.8,0.0,0.0
'23:39:08.3239',48.0,0.0,0.0,41.8,41.8,265.9,0.0,0.0
'23:39:08.4312',48.0,0.0,0.0,41.8,41.8,41.7,0.0,0.0
'23:39:08.5398',48.0,0.0,0.0,41.8,41.8,5.5,0.0,0.0
'23:39:08.6532',48.0,0.0,0.0,41.8,41.8,254.3,0.0,0.0
'23:39:08.7616',48.0,0.0,0.0,41.8,41.8,13.9,0.0,0.0
'23:39:08.8712',48.0,0.0,0.0,41.8,41.8,198.1,0.0,0.0
'23:39:08.9787',48.0,0.0,0.0,41.8,41.8,333.9,0.0,0.0
'23:39:09.0934',48.0,0.0,0.0,41.8,41.8,241.4,0.0,0.0
'23:39:09.1962',48.0,0.0,0.0,41.8,41.8,328.8,0.0,0.0
'23:39:09.3107',48.0,0.0,0.0,41.8,41.8,169.1,0.0,0.0
'23:39:09.4178',48.0,0.0,0.0,41.8,41.8,272.5,0.0,0.0
'23:39:09.5257',48.0,0.0,0.0,41.8,41.8,252.5,0.0,0.0
'23:39:09.6358',48.0,0.0,0.0,41.8,41.8,264.8,0.0,0.0
'23:39:09.7519',48.0,0.0,0.0,41.8,41.8,325.5,0.0,0.0
'23:39:09.8540',48.0,0.6,0.0,41.8,41.8,224.7,1.2,0.1
'23:39:09.9653',48.0,3.1,512.8,41.8,41.8,204.7,5.5,0.4
'23:39:10.0787',48.0,5.5,957.3,41.8,41.8,251.9,9.8,0.5
'23:39:10.1834',48.0,5.5,1401.7,41.8,41.8,183.4,9.2,0.5
'23:39:10.2963',48.0,5.5,1606.8,41.8,41.8,56.0,9.8,0.5
'23:39:10.4018',48.0,5.5,1572.6,41.8,41.8,175.6,9.2,0.5
'23:39:10.5137',48.0,5.5,1538.5,41.8,41.8,155.6,9.8,0.5
'23:39:10.6228',48.0,5.5,1743.6,41.8,41.8,307.5,9.2,0.5
'23:39:10.7321',48.0,5.5,1470.1,41.8,41.8,287.5,8.5,0.5
'23:39:10.8405',48.0,5.5,1675.2,41.8,41.8,283.6,9.2,0.5
'23:39:10.9533',48.0,5.5,1401.7,41.8,41.8,107.8,8.5,0.5
'23:39:11.0572',48.0,5.5,1367.5,41.8,41.8,106.5,9.2,0.5
'23:39:11.1690',48.0,5.5,1333.3,41.8,41.8,274.6,8.5,0.5
'23:39:11.2855',48.0,5.5,1538.5,41.8,41.8,319.2,9.2,0.5
'23:39:11.3881',48.0,5.5,1504.3,41.8,41.8,234.5,8.5,0.5
'23:39:11.4985',48.0,5.5,1470.1,41.8,41.8,58.7,9.2,0.5
'23:39:11.6068',48.0,5.5,1435.9,41.8,41.8,210.6,8.5,0.5
'23:39:11.7151',48.0,5.5,1401.7,41.8,41.8,346.5,9.2,0.5
'23:39:11.8307',48.0,5.5,1367.5,41.8,41.8,30.9,9.8,0.5
'23:39:11.9316',48.0,5.5,1333.3,41.8,41.8,338.6,9.2,0.5
'23:39:12.0446',48.0,5.5,1299.1,41.8,41.8,41.9,9.8,0.5
'23:39:12.1521',48.0,5.5,1265.0,41.8,41.8,333.5,9.2,0.5
'23:39:12.2648',48.0,5.5,1470.1,41.8,41.8,141.5,9.8,0.5
'23:39:12.3787',48.0,5.5,1675.2,41.8,41.8,137.7,9.2,0.5
'23:39:12.4846',48.0,5.5,1880.3,41.8,41.8,133.8,9.8,0.5
'23:39:12.5931',48.0,5.5,1606.8,41.8,41.8,269.5,9.2,0.5
