秒數,韌體值
0,0.055
1,0.257205882
2,0.601764706
3,1.011029412
4,1.366911765
5,1.604705882
6,1.809338235
7,2.035
8,2.255
9,2.455588235
10,2.625441176
11,2.761323529
12,2.857573529
13,2.916617647
14,2.948970588
15,2.965955882
16,2.914191176
17,2.768602941
18,2.577720588
19,2.314044118
20,2.022058824
21,1.850588235
22,1.824705882
23,1.888602941
24,1.951691176
25,1.958970588
26,1.989705882
27,2.032573529
28,2.019632353
29,2.024485294
30,2.100514706
31,2.219411765
32,2.353676471
33,2.484705882
34,2.605220588
35,2.710367647
36,2.797720588
37,2.868897059
38,2.867279412
39,2.762941176
40,2.656985294
41,2.613308824
42,2.610073529
43,2.633529412
44,2.616544118
45,2.517058824
46,2.431323529
47,2.42
48,2.458014706
49,2.523529412
50,2.595514706
51,2.665882353
52,2.731397059
53,2.790441176
54,2.835735294
55,2.866470588
56,2.8875
57,2.905294118
58,2.922279412
59,2.938455882
60,2.948161765
61,2.950588235
62,2.948161765
63,2.943308824
64,2.940882353
65,2.884264706
66,2.740294118
67,2.553455882
68,2.350441176
69,2.203235294
70,2.160367647
71,2.194338235
72,2.274411765
73,2.381176471
74,2.496838235
75,2.606838235
76,2.706323529
77,2.73625
78,2.664264706
79,2.530808824
80,2.365
81,2.244485294
82,2.220220588
83,2.264705882
84,2.35125
85,2.398161765
86,2.356911765
87,2.266323529
88,2.154705882
89,2.094044118
90,2.126397059
91,2.215367647
92,2.331029412
93,2.450735294
94,2.567205882
95,2.674779412
96,2.768602941
97,2.786397059
98,2.635955882
99,2.3925
100,2.225882353
101,2.178161765
102,2.206470588
103,2.279264706
104,2.318088235
105,2.280073529
106,2.196764706
107,2.089191176
108,2.033382353
109,2.073014706
110,2.171691176
111,2.29625
112,2.422426471
113,2.54375
114,2.656985294
115,2.754852941
116,2.835735294
117,2.843014706
118,2.689338235
119,2.443455882
120,2.271985294
121,2.218602941
122,2.246102941
123,2.322132353
124,2.368235294
125,2.278455882
126,2.047132353
127,1.741397059
128,1.472058824
129,1.358823529
130,1.409779412
131,1.559411765
132,1.762426471
133,1.987279412
134,2.206470588
135,2.40625
136,2.580147059
137,2.666691176
138,2.634338235
139,2.526764706
140,2.375514706
141,2.26875
142,2.254191176
143,2.297058824
144,2.377132353
145,2.476617647
146,2.525147059
147,2.423235294
148,2.232352941
149,2.113455882
150,2.105367647
151,2.166029412
152,2.265514706
153,2.380367647
154,2.495220588
155,2.599558824
156,2.631102941
157,2.5025
158,2.225073529
159,1.933088235
160,1.770514706
161,1.762426471
162,1.852205882
163,1.995367647
164,2.107794118
165,2.078676471
166,1.903970588
167,1.705
168,1.621691176
169,1.6775
170,1.814191176
171,1.988897059
172,2.1725
173,2.348823529
174,2.508970588
175,2.648088235
176,2.759705882
177,2.788014706
178,2.704705882
179,2.614117647
180,2.582573529
181,2.588235294
182,2.620588235
183,2.669926471
184,2.670735294
185,2.524338235
186,2.292205882
187,2.138529412
188,2.107794118
189,2.15875
190,2.257426471
191,2.374705882
192,2.491176471
193,2.600367647
194,2.699852941
195,2.782352941
196,2.787205882
197,2.627867647
198,2.37875
199,2.152279412
200,1.958161765
201,1.857867647
202,1.877279412
203,1.967867647
204,2.040661765
205,2.044705882
206,2.064926471
207,2.093235294
208,2.0625
209,2.052794118
210,2.1175
211,2.228308824
212,2.355294118
213,2.480661765
214,2.59875
215,2.703088235
216,2.789632353
217,2.803382353
218,2.714411765
219,2.565588235
220,2.388455882
221,2.262279412
222,2.233970588
223,2.273602941
224,2.356102941
225,2.458823529
226,2.567205882
227,2.610073529
228,2.547794118
229,2.483088235
230,2.481470588
231,2.517058824
232,2.565588235
233,2.617352941
234,2.669926471
235,2.720882353
236,2.714411765
237,2.618970588
238,2.474191176
239,2.311617647
240,2.202426471
241,2.188676471
242,2.240441176
243,2.331838235
244,2.382794118
245,2.347205882
246,2.261470588
247,2.094044118
248,1.886985294
249,1.782647059
250,1.811764706
251,1.920955882
252,2.066544118
253,2.223455882
254,2.381985294
255,2.53
256,2.601985294
257,2.500882353
258,2.237205882
259,1.950073529
260,1.785073529
261,1.768897059
262,1.851397059
263,1.992132353
264,2.100514706
265,2.124779412
266,2.096470588
267,1.979191176
268,1.806911765
269,1.717132353
270,1.744632353
271,1.839264706
272,1.971911765
273,2.13125
274,2.299485294
275,2.453161765
